molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c38h20_0pent_2016,c1ccc2cc3c(cc2c1)cc1ccc2cc4c(cc5ccc6cccc7ccc4c5c67)c4ccc3c1c24,-9.472,-8.019,1.453,0.056,-2494.145,-2483.211,-2500.717,11.934,11.915,11.867,-6.572,10.934,-2.339,10,0.328,1.089,-6.18,-1.576,4.592,6.187,-1.566
hc_c38h20_0pent_2079,c1cc2ccc3cc4c5ccc6c(cc7ccc8cccc9ccc6c7c89)c5ccc4c4ccc(c1)c2c34,-9.617,-7.848,1.769,0.002,-2494.273,-2483.216,-2500.701,11.946,11.917,11.871,-6.429,11.056,-2.348,10,0.2,0.923,-6.405,-1.356,5.041,6.363,-1.392
hc_c38h20_0pent_2093,c1ccc2c(c1)cc1ccc3c4ccc5c(cc6ccc7cccc8ccc5c6c78)c4cc4ccc2c1c43,-9.532,-7.947,1.585,0.034,-2494.198,-2483.207,-2500.701,11.941,11.917,11.871,-6.503,10.992,-2.351,10,0.275,1.008,-6.273,-1.483,4.78,6.27,-1.482
hc_c38h20_0pent_2094,c1ccc2c(c1)cc1ccc3cc4c5cc6ccc7cccc8ccc(c5ccc4c4ccc2c1c34)c6c78,-9.563,-7.906,1.656,0.059,-2494.253,-2483.237,-2500.724,11.944,11.919,11.872,-6.471,11.016,-2.351,10,0.22,0.955,-6.321,-1.431,4.881,6.305,-1.444
hc_c38h20_0pent_2119,c1cc2ccc3cc4cc5ccc6c(cc7ccc8cccc9ccc6c7c89)c5cc4c4ccc(c1)c2c34,-9.614,-7.872,1.742,0.025,-2494.216,-2483.13,-2500.628,11.939,11.907,11.857,-6.411,11.086,-2.337,10,0.257,1.0,-6.401,-1.387,5.003,6.406,-1.371
hc_c38h20_0pent_2120,c1cc2ccc3cc4cc5c(ccc6c5cc5ccc7cccc8ccc6c5c78)cc4c4ccc(c1)c2c34,-9.562,-7.923,1.639,0.03,-2494.234,-2483.226,-2500.728,11.94,11.916,11.868,-6.494,11.007,-2.332,10,0.239,1.003,-6.32,-1.452,4.857,6.292,-1.472
hc_c38h20_0pent_2121,c1cc2ccc3cc4c5cc6c(cc5ccc4c4ccc(c1)c2c34)c1cccc2ccc3cccc6c3c21,-9.721,-7.745,1.976,0.046,-2494.366,-2483.14,-2500.611,11.949,11.909,11.861,-6.245,11.225,-2.357,10,0.107,0.815,-6.567,-1.223,5.336,6.606,-1.169
hc_c38h20_0pent_2337,c1ccc2c(c1)ccc1cc3cc4ccc5c6ccc7cccc8ccc(c9ccc(c3cc12)c4c59)c6c78,-9.434,-8.066,1.369,0.04,-2494.191,-2483.236,-2500.745,11.94,11.92,11.873,-6.554,10.955,-2.355,10,0.282,1.067,-6.121,-1.636,4.473,6.217,-1.544
hc_c38h20_0pent_2339,c1ccc2c(c1)ccc1cc3c(cc4ccc5c6ccc7cccc8ccc(c9ccc3c4c59)c6c78)cc12,-9.422,-8.073,1.349,0.057,-2494.206,-2483.284,-2500.788,11.941,11.922,11.876,-6.582,10.922,-2.351,10,0.267,1.069,-6.102,-1.645,4.444,6.169,-1.579
hc_c38h20_0pent_2342,c1ccc2cc3c(cc2c1)cc1ccc2c4ccc5c6ccccc6cc6ccc(c7ccc3c1c27)c4c65,-9.338,-8.162,1.176,0.013,-2494.022,-2483.197,-2500.708,11.932,11.917,11.871,-6.686,10.825,-2.355,10,0.451,1.227,-5.971,-1.76,4.198,6.029,-1.705
hc_c38h20_0pent_2343,c1ccc2cc3c(cc2c1)cc1ccc2c4ccc5cc6ccccc6c6ccc(c7ccc3c1c27)c4c56,-9.38,-8.114,1.266,0.06,-2494.053,-2483.188,-2500.693,11.933,11.917,11.871,-6.64,10.865,-2.355,10,0.42,1.178,-6.037,-1.698,4.326,6.087,-1.649
hc_c38h20_0pent_2351,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3c4ccc5cccc6ccc(c7ccc2c1c37)c4c56,-9.462,-8.022,1.441,0.073,-2494.242,-2483.269,-2500.76,11.946,11.923,11.88,-6.518,10.973,-2.367,10,0.231,0.989,-6.164,-1.58,4.575,6.243,-1.501
hc_c38h20_0pent_2352,c1ccc2cc3c(ccc4c3cc3ccc5c6ccc7cccc8ccc(c9ccc4c3c59)c6c78)cc2c1,-9.465,-8.025,1.44,0.036,-2494.167,-2483.217,-2500.718,11.939,11.917,11.872,-6.55,10.95,-2.354,10,0.306,1.055,-6.169,-1.584,4.574,6.21,-1.54
hc_c38h20_0pent_2364,c1ccc2c(c1)ccc1c2cc2ccc3c4ccc5c6ccccc6cc6ccc(c7ccc1c2c37)c4c65,-9.406,-8.08,1.326,0.018,-2494.188,-2483.278,-2500.773,11.943,11.925,11.88,-6.585,10.91,-2.37,10,0.285,1.056,-6.077,-1.654,4.412,6.152,-1.582
hc_c38h20_0pent_2369,c1ccc2c(c1)ccc1c2cc2ccc3c4ccc5cc6ccccc6c6ccc(c7ccc1c2c37)c4c56,-9.423,-8.059,1.364,0.036,-2494.201,-2483.277,-2500.769,11.944,11.924,11.88,-6.568,10.924,-2.37,10,0.272,1.036,-6.104,-1.627,4.466,6.172,-1.561
hc_c38h20_0pent_368,c1ccc2cc3c(ccc4cc5cc6ccc7cc8cccc9ccc%10cc(c5cc43)c6c7c%10c98)cc2c1,-9.528,-7.985,1.544,0.048,-2494.153,-2483.089,-2500.607,11.931,11.901,11.851,-6.454,11.064,-2.329,10,0.32,1.063,-6.267,-1.532,4.722,6.374,-1.423
hc_c38h20_0pent_369,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)cc1ccc2cc3cccc5ccc6cc4c1c2c6c53,-9.511,-7.997,1.514,0.078,-2494.188,-2483.142,-2500.654,11.937,11.911,11.862,-6.466,11.046,-2.341,10,0.285,1.027,-6.24,-1.548,4.679,6.348,-1.437
hc_c38h20_0pent_370,c1ccc2c(c1)ccc1cc3cc4cc5ccc6cc7cccc8ccc9cc(c4cc3cc12)c5c6c9c87,-9.453,-8.064,1.389,0.072,-2494.087,-2483.123,-2500.649,11.929,11.908,11.858,-6.563,10.964,-2.32,10,0.386,1.151,-6.15,-1.634,4.501,6.23,-1.555
hc_c38h20_0pent_372,c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)cc1ccc2cc3cccc5ccc6cc4c1c2c6c53,-9.443,-8.071,1.372,0.081,-2494.089,-2483.151,-2500.673,11.929,11.91,11.86,-6.584,10.938,-2.319,10,0.384,1.152,-6.135,-1.643,4.477,6.192,-1.581
hc_c38h20_0pent_373,c1ccc2cc3cc4c(cc3cc2c1)cc1c2ccccc2c2cc3cccc5ccc6cc4c1c2c6c53,-9.467,-8.04,1.428,0.046,-2494.025,-2483.056,-2500.576,11.928,11.906,11.859,-6.551,10.969,-2.351,10,0.448,1.133,-6.172,-1.603,4.557,6.237,-1.541
hc_c38h20_0pent_374,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2cc3c5ccccc5cc5ccc6cc4c1c2c6c53,-9.363,-8.154,1.209,0.02,-2493.948,-2483.106,-2500.635,11.92,11.906,11.857,-6.687,10.841,-2.326,10,0.525,1.294,-6.01,-1.75,4.245,6.053,-1.706
hc_c38h20_0pent_376,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2cc3cccc5c6ccccc6c6cc4c1c2c6c35,-9.433,-8.079,1.354,0.061,-2494.002,-2483.049,-2500.571,11.927,11.908,11.86,-6.569,10.954,-2.35,10,0.471,1.167,-6.119,-1.653,4.451,6.215,-1.563
hc_c38h20_0pent_377,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6cccc7c8ccccc8c8cc3c4c5c8c67)cc12,-9.537,-7.942,1.595,0.048,-2494.275,-2483.198,-2500.688,11.943,11.918,11.871,-6.413,11.078,-2.366,10,0.198,0.928,-6.281,-1.477,4.794,6.394,-1.373
hc_c38h20_0pent_378,c1cc2ccc3cc4c5cc6c7ccccc7c7ccccc7c6cc5cc5ccc6cc(c1)c2c3c6c54,-9.527,-7.98,1.547,0.067,-2494.232,-2483.133,-2500.641,11.942,11.915,11.87,-6.409,11.099,-2.364,10,0.241,0.945,-6.265,-1.526,4.726,6.425,-1.368
hc_c38h20_0pent_379,c1ccc2c(c1)ccc1c3cc4cc5ccc6cc7cccc8ccc9cc(c4cc3ccc21)c5c6c9c87,-9.492,-8.008,1.484,0.099,-2494.204,-2483.198,-2500.703,11.938,11.914,11.867,-6.499,11.006,-2.336,10,0.269,1.03,-6.211,-1.562,4.636,6.29,-1.478
hc_c38h20_0pent_380,c1ccc2cc3c(ccc4cc5c(cc6ccc7cc8cccc9ccc%10cc5c6c7c%10c98)cc43)cc2c1,-9.502,-8.0,1.502,0.077,-2494.166,-2483.17,-2500.677,11.932,11.909,11.86,-6.512,10.996,-2.323,10,0.307,1.067,-6.226,-1.552,4.662,6.276,-1.493
hc_c38h20_0pent_383,c1ccc2cc3c(cc2c1)cc1c2cc4ccccc4cc2c2cc4cccc5ccc6cc3c1c2c6c54,-9.582,-7.895,1.688,0.063,-2494.16,-2483.036,-2500.53,11.933,11.9,11.851,-6.37,11.124,-2.361,10,0.313,0.978,-6.351,-1.416,4.926,6.461,-1.321
hc_c38h20_0pent_385,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cc4c5ccccc5cc5ccc6cc3c1c2c6c54,-9.489,-7.992,1.496,0.029,-2494.169,-2483.159,-2500.656,11.936,11.913,11.867,-6.487,11.01,-2.377,10,0.304,1.002,-6.206,-1.541,4.653,6.296,-1.463
hc_c38h20_0pent_386,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cc4cccc5c6ccccc6c6cc3c1c2c6c45,-9.592,-7.864,1.728,0.02,-2494.234,-2483.094,-2500.57,11.948,11.918,11.869,-6.336,11.139,-2.397,10,0.239,0.877,-6.366,-1.377,4.983,6.482,-1.279
hc_c38h20_0pent_387,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cc6cccc7ccc8cc(c3cc12)c4c5c8c76,-9.58,-7.899,1.681,0.059,-2494.279,-2483.142,-2500.634,11.943,11.913,11.866,-6.356,11.137,-2.371,10,0.194,0.899,-6.348,-1.422,4.916,6.479,-1.304
hc_c38h20_0pent_388,c1ccc2c(c1)ccc1cc3c(cc12)cc1c2ccccc2c2cc4cccc5ccc6cc3c1c2c6c54,-9.562,-7.913,1.649,0.079,-2494.293,-2483.201,-2500.689,11.944,11.917,11.87,-6.397,11.092,-2.367,10,0.18,0.902,-6.32,-1.44,4.871,6.414,-1.354
hc_c38h20_0pent_390,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5cc6ccccc6cc5cc5ccc6cc3c1c2c6c54,-9.379,-8.129,1.25,0.002,-2494.016,-2483.148,-2500.667,11.923,11.907,11.858,-6.651,10.868,-2.33,10,0.457,1.224,-6.035,-1.717,4.304,6.091,-1.662
hc_c38h20_0pent_391,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5ccc6ccccc6c5cc5ccc6cc3c1c2c6c54,-9.433,-8.066,1.367,0.027,-2494.142,-2483.203,-2500.71,11.932,11.913,11.866,-6.568,10.94,-2.346,10,0.331,1.094,-6.119,-1.636,4.47,6.195,-1.561
hc_c38h20_0pent_392,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5ccccc5cc5c6ccccc6c6cc3c1c2c6c45,-9.473,-8.011,1.462,0.041,-2494.163,-2483.16,-2500.657,11.936,11.914,11.867,-6.493,11.004,-2.377,10,0.31,1.013,-6.181,-1.566,4.605,6.288,-1.47
hc_c38h20_0pent_393,c1ccc2c(c1)ccc1cc3cc4ccc5cc6c7ccccc7cc7ccc8cc(c3cc12)c4c5c8c76,-9.462,-8.039,1.423,0.011,-2494.211,-2483.214,-2500.723,11.936,11.915,11.866,-6.512,10.997,-2.347,10,0.262,1.045,-6.164,-1.602,4.55,6.277,-1.493
hc_c38h20_0pent_394,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6c7ccccc7cc7ccc8cc3c4c5c8c76)cc12,-9.447,-8.048,1.399,0.022,-2494.224,-2483.266,-2500.769,11.937,11.917,11.869,-6.545,10.958,-2.342,10,0.249,1.048,-6.141,-1.613,4.515,6.221,-1.534
hc_c38h20_0pent_395,c1ccc2c(c1)ccc1cc3cc4ccc5cc6cc7ccccc7c7ccc8cc(c3cc12)c4c5c8c67,-9.435,-8.076,1.359,0.048,-2494.14,-2483.155,-2500.67,11.934,11.913,11.866,-6.531,10.985,-2.345,10,0.333,1.105,-6.122,-1.649,4.459,6.26,-1.516
hc_c38h20_0pent_396,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6cc7ccccc7c7ccc8cc3c4c5c8c67)cc12,-9.42,-8.083,1.336,0.053,-2494.153,-2483.21,-2500.719,11.934,11.916,11.868,-6.566,10.943,-2.34,10,0.32,1.108,-6.099,-1.658,4.426,6.2,-1.559
hc_c38h20_0pent_397,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cc4cc5ccccc5c5ccc6cc3c1c2c6c45,-9.474,-8.009,1.465,0.034,-2494.115,-2483.111,-2500.608,11.935,11.912,11.866,-6.494,11.004,-2.371,10,0.358,1.046,-6.183,-1.563,4.609,6.288,-1.472
hc_c38h20_0pent_398,c1ccc2cc3c(cc2c1)cc1ccc2cc4cc5c6ccccc6ccc5c5ccc6cc3c1c2c6c45,-9.425,-8.077,1.347,0.037,-2494.103,-2483.169,-2500.679,11.932,11.913,11.866,-6.576,10.934,-2.343,10,0.37,1.12,-6.107,-1.651,4.442,6.187,-1.571
hc_c38h20_0pent_400,c1ccc2c(c1)ccc1cc3cc4ccc5cc6cccc7c8ccccc8c8cc(c3cc12)c4c5c8c67,-9.557,-7.928,1.629,0.05,-2494.262,-2483.137,-2500.633,11.942,11.914,11.867,-6.371,11.125,-2.373,10,0.211,0.924,-6.312,-1.459,4.842,6.462,-1.322
hc_c38h20_0pent_413,c1ccc2cc3c(ccc4c3ccc3c4cc4ccc5cc6cccc7ccc8cc3c4c5c8c76)cc2c1,-9.514,-7.983,1.53,0.082,-2494.132,-2483.125,-2500.628,11.934,11.908,11.861,-6.497,11.007,-2.338,10,0.341,1.057,-6.245,-1.53,4.702,6.292,-1.475
hc_c38h20_0pent_414,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cc4cccc5ccc6cc1c2c3c6c54,-9.517,-7.977,1.54,0.093,-2494.234,-2483.182,-2500.675,11.943,11.915,11.87,-6.44,11.052,-2.352,10,0.239,0.963,-6.25,-1.522,4.716,6.357,-1.406
hc_c38h20_0pent_416,c1ccc2c(c1)ccc1c2ccc2c1cc1c3ccccc3c3cc4cccc5ccc6cc2c1c3c6c54,-9.574,-7.89,1.684,0.107,-2494.284,-2483.165,-2500.64,11.949,11.921,11.874,-6.356,11.119,-2.387,10,0.189,0.865,-6.338,-1.41,4.921,6.453,-1.304
hc_c38h20_0pent_417,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4c5ccccc5cc5ccc6cc2c1c3c6c54,-9.476,-8.011,1.465,0.032,-2494.233,-2483.233,-2500.727,11.941,11.918,11.873,-6.493,11.0,-2.358,10,0.24,0.991,-6.186,-1.566,4.609,6.282,-1.47
hc_c38h20_0pent_418,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4cccc5c6ccccc6c6cc2c1c3c6c45,-9.559,-7.91,1.649,0.063,-2494.278,-2483.167,-2500.646,11.947,11.918,11.874,-6.368,11.111,-2.381,10,0.195,0.88,-6.315,-1.436,4.871,6.442,-1.318
hc_c38h20_0pent_420,c1ccc2cc3c(ccc4c3cc3c5ccccc5c5cc6cccc7ccc8cc4c3c5c8c76)cc2c1,-9.543,-7.938,1.605,0.082,-2494.188,-2483.13,-2500.626,11.939,11.915,11.865,-6.438,11.059,-2.374,10,0.285,0.961,-6.29,-1.472,4.808,6.367,-1.403
hc_c38h20_0pent_421,c1ccc2cc3c(ccc4c3cc3ccc5cc6c7ccccc7cc7ccc8cc4c3c5c8c76)cc2c1,-9.466,-8.029,1.437,0.022,-2494.148,-2483.184,-2500.689,11.933,11.912,11.865,-6.542,10.964,-2.344,10,0.325,1.073,-6.17,-1.589,4.569,6.23,-1.53
hc_c38h20_0pent_422,c1ccc2cc3c(ccc4c3cc3ccc5cc6cc7ccccc7c7ccc8cc4c3c5c8c67)cc2c1,-9.387,-8.125,1.262,0.027,-2494.042,-2483.146,-2500.665,11.929,11.91,11.863,-6.623,10.896,-2.342,10,0.431,1.186,-6.048,-1.712,4.321,6.132,-1.628
hc_c38h20_0pent_423,c1ccc2cc3c(ccc4c3cc3ccc5cc6cccc7c8ccccc8c8cc4c3c5c8c67)cc2c1,-9.531,-7.952,1.579,0.03,-2494.188,-2483.134,-2500.632,11.939,11.912,11.866,-6.444,11.053,-2.367,10,0.285,0.969,-6.272,-1.49,4.771,6.358,-1.411
hc_c38h20_0pent_425,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3ccc5cc6cccc7ccc8cc4c3c5c8c76)cc12,-9.503,-8.0,1.502,0.071,-2494.239,-2483.217,-2500.722,11.938,11.914,11.867,-6.483,11.022,-2.338,10,0.234,1.005,-6.228,-1.552,4.662,6.314,-1.458
hc_c38h20_0pent_426,c1ccc2cc3cc4c(ccc5c4cc4ccc6cc7cccc8ccc9cc5c4c6c9c87)cc3cc2c1,-9.444,-8.074,1.37,0.041,-2493.969,-2483.069,-2500.6,11.923,11.904,11.855,-6.631,10.9,-2.323,10,0.504,1.237,-6.136,-1.647,4.474,6.138,-1.638
hc_c38h20_0pent_427,c1ccc2c(c1)ccc1cc3ccc4c(cc5ccc6cc7cccc8ccc9cc4c5c6c9c87)c3cc12,-9.512,-7.998,1.514,0.046,-2494.226,-2483.169,-2500.681,11.938,11.91,11.862,-6.455,11.057,-2.343,10,0.247,1.004,-6.242,-1.549,4.679,6.364,-1.424
hc_c38h20_0pent_434,c1ccc2c(c1)ccc1c2cc2ccc3cc4c5ccc6ccccc6c5cc5ccc6cc1c2c3c6c54,-9.467,-8.023,1.445,0.008,-2494.254,-2483.266,-2500.764,11.941,11.919,11.874,-6.51,10.989,-2.361,10,0.219,0.986,-6.172,-1.581,4.581,6.266,-1.491
hc_c38h20_0pent_435,c1ccc2c(c1)ccc1c2cc2ccc3cc4c5ccccc5cc5c6ccccc6c6cc1c2c3c6c45,-9.531,-7.934,1.597,0.016,-2494.287,-2483.214,-2500.694,11.945,11.919,11.875,-6.408,11.072,-2.392,10,0.186,0.889,-6.272,-1.467,4.797,6.386,-1.367
hc_c38h20_0pent_439,c1ccc2c(c1)ccc1c2cc2cc3ccc4cc5c6ccccc6ccc5c5cc6ccc1c2c6c3c45,-9.426,-8.074,1.352,0.021,-2494.193,-2483.24,-2500.746,11.939,11.919,11.874,-6.553,10.954,-2.359,10,0.28,1.045,-6.108,-1.647,4.449,6.215,-1.543
hc_c38h20_0pent_442,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4cc5ccccc5c5ccc6cc2c1c3c6c45,-9.414,-8.087,1.328,0.067,-2494.141,-2483.184,-2500.688,11.937,11.916,11.872,-6.548,10.957,-2.356,10,0.332,1.083,-6.09,-1.663,4.415,6.22,-1.537
hc_c38h20_0pent_457,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3ccc4c5ccccc5cc5cc6ccc2c1c6c3c54,-9.312,-8.207,1.104,0.047,-2494.01,-2483.151,-2500.672,11.931,11.915,11.87,-6.662,10.859,-2.354,10,0.463,1.238,-5.931,-1.818,4.096,6.079,-1.676
hc_c38h20_0pent_460,c1ccc2c(c1)ccc1c2cc2cc3ccc4c5ccc6ccccc6c5cc5cc6ccc1c2c6c3c54,-9.358,-8.157,1.201,0.008,-2494.098,-2483.203,-2500.721,11.935,11.918,11.873,-6.623,10.895,-2.356,10,0.375,1.149,-6.002,-1.753,4.234,6.13,-1.628
hc_c38h20_0pent_486,c1ccc2c(c1)ccc1cc3ccc4c(cc5cc6ccc7cccc8cc9ccc4c5c9c6c78)c3cc12,-9.468,-8.054,1.413,0.044,-2494.161,-2483.123,-2500.643,11.935,11.907,11.863,-6.483,11.037,-2.341,10,0.312,1.068,-6.174,-1.621,4.535,6.335,-1.458
hc_c38h20_0pent_487,c1ccc2cc3cc4c(ccc5c4cc4cc6ccc7cccc8cc9ccc5c4c9c6c78)cc3cc2c1,-9.45,-8.07,1.38,0.04,-2493.922,-2483.009,-2500.539,11.922,11.901,11.853,-6.617,10.912,-2.321,10,0.551,1.274,-6.146,-1.642,4.488,6.155,-1.621
hc_c38h20_0pent_488,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3cc5ccc6cccc7cc8ccc4c3c8c5c67)cc12,-9.458,-8.056,1.403,0.068,-2494.173,-2483.18,-2500.692,11.936,11.914,11.867,-6.518,10.993,-2.336,10,0.3,1.069,-6.158,-1.624,4.521,6.272,-1.501
hc_c38h20_0pent_491,c1ccc2cc3c(ccc4c3cc3cc5ccc6cc7ccccc7c7cc8ccc4c3c8c5c67)cc2c1,-9.45,-8.05,1.4,0.021,-2494.109,-2483.155,-2500.663,11.932,11.912,11.865,-6.554,10.954,-2.342,10,0.364,1.1,-6.146,-1.616,4.517,6.215,-1.544
hc_c38h20_0pent_492,c1ccc2cc3c(ccc4c3cc3cc5ccc6c7ccccc7cc7cc8ccc4c3c8c5c76)cc2c1,-9.343,-8.179,1.164,0.026,-2493.963,-2483.087,-2500.612,11.925,11.909,11.863,-6.65,10.876,-2.34,10,0.51,1.265,-5.979,-1.782,4.181,6.103,-1.661
hc_c38h20_0pent_493,c1ccc2cc3c(ccc4c3cc3cc5c6ccccc6c6cccc7cc8ccc4c3c8c5c76)cc2c1,-9.504,-7.985,1.519,0.044,-2494.142,-2483.101,-2500.599,11.938,11.913,11.867,-6.458,11.041,-2.361,10,0.331,1.014,-6.23,-1.532,4.686,6.341,-1.428
hc_c38h20_0pent_496,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3ccc4cc5ccccc5c5cc6ccc2c1c6c3c45,-9.435,-8.061,1.373,0.047,-2494.171,-2483.207,-2500.708,11.939,11.917,11.872,-6.538,10.964,-2.355,10,0.302,1.049,-6.122,-1.63,4.478,6.23,-1.525
hc_c38h20_0pent_497,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3c4ccccc4c4cccc5cc6ccc2c1c6c3c54,-9.475,-8.011,1.464,0.039,-2494.198,-2483.164,-2500.658,11.945,11.919,11.875,-6.46,11.034,-2.375,10,0.275,0.971,-6.184,-1.566,4.608,6.331,-1.43
hc_c38h20_0pent_499,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2cc3ccc4cccc5cc6ccc1c2c6c3c45,-9.441,-8.068,1.373,0.094,-2494.145,-2483.148,-2500.654,11.939,11.915,11.87,-6.509,10.997,-2.35,10,0.328,1.059,-6.132,-1.639,4.478,6.277,-1.49
hc_c38h20_0pent_500,c1ccc2cc3c(ccc4c3ccc3c4cc4cc5ccc6cccc7cc8ccc3c4c8c5c67)cc2c1,-9.417,-8.099,1.318,0.079,-2494.03,-2483.108,-2500.629,11.93,11.909,11.862,-6.599,10.922,-2.336,10,0.443,1.174,-6.094,-1.679,4.4,6.169,-1.599
hc_c38h20_0pent_513,c1ccc2cc3c(cc2c1)cc1cc2ccc4cc5c6ccccc6ccc5c5cc6ccc3c1c6c2c45,-9.325,-8.193,1.132,0.044,-2494.005,-2483.161,-2500.687,11.927,11.912,11.865,-6.682,10.845,-2.343,10,0.468,1.251,-5.951,-1.8,4.136,6.058,-1.7
hc_c38h20_0pent_514,c1ccc2cc3c(cc2c1)cc1cc2c4ccccc4c4cc5ccccc5c5cc6ccc3c1c6c2c54,-9.391,-8.106,1.285,0.044,-2494.063,-2483.133,-2500.641,11.932,11.913,11.868,-6.578,10.93,-2.369,10,0.41,1.123,-6.054,-1.688,4.353,6.181,-1.574
hc_c38h20_0pent_515,c1ccc2c(c1)ccc1cc3c(cc4cc5ccc6cc7ccccc7c7cc8ccc3c4c8c5c67)cc12,-9.378,-8.132,1.246,0.032,-2494.124,-2483.225,-2500.741,11.933,11.916,11.869,-6.617,10.899,-2.339,10,0.349,1.152,-6.034,-1.721,4.298,6.136,-1.621
hc_c38h20_0pent_516,c1ccc2c(c1)ccc1cc3cc4cc5ccc6cc7ccccc7c7cc8ccc(c3cc12)c4c8c5c67,-9.39,-8.124,1.266,0.053,-2494.109,-2483.18,-2500.7,11.932,11.914,11.866,-6.591,10.929,-2.343,10,0.364,1.149,-6.052,-1.711,4.326,6.179,-1.589
hc_c38h20_0pent_524,c1ccc2c(c1)ccc1cc3c(cc4cc5c6ccccc6c6cccc7cc8ccc3c4c8c5c76)cc12,-9.4,-8.103,1.297,0.047,-2494.141,-2483.187,-2500.698,11.938,11.918,11.871,-6.557,10.954,-2.358,10,0.332,1.087,-6.068,-1.684,4.37,6.215,-1.548
hc_c38h20_0pent_525,c1ccc2c(c1)ccc1cc3cc4cc5c6ccccc6c6cccc7cc8ccc(c3cc12)c4c8c5c76,-9.411,-8.096,1.315,0.023,-2494.126,-2483.146,-2500.661,11.937,11.915,11.868,-6.535,10.98,-2.361,10,0.347,1.085,-6.085,-1.675,4.396,6.253,-1.521
hc_c38h20_0pent_529,c1ccc2cc3c(cc2c1)cc1cc2c4cc5ccccc5cc4c4cccc5cc6ccc3c1c6c2c54,-9.387,-8.122,1.265,0.045,-2493.982,-2483.025,-2500.543,11.926,11.903,11.855,-6.561,10.957,-2.351,10,0.491,1.195,-6.048,-1.708,4.325,6.22,-1.553
hc_c38h20_0pent_532,c1ccc2cc3c(ccc4cc5c(cc6cc7ccc8cccc9cc%10ccc5c6c%10c7c89)cc43)cc2c1,-9.375,-8.15,1.225,0.085,-2494.019,-2483.114,-2500.64,11.925,11.908,11.859,-6.621,10.906,-2.32,10,0.454,1.235,-6.029,-1.744,4.268,6.146,-1.626
hc_c38h20_0pent_533,c1ccc2c(c1)ccc1c3cc4cc5cc6ccc7cccc8cc9ccc(c4cc3ccc21)c5c9c6c78,-9.344,-8.181,1.163,0.105,-2494.04,-2483.161,-2500.69,11.93,11.913,11.866,-6.65,10.879,-2.333,10,0.433,1.226,-5.981,-1.784,4.18,6.107,-1.661
hc_c38h20_0pent_534,c1cc2ccc3cc4cc5cc6c7ccccc7c7ccccc7c6cc5c5ccc6cc(c1)c2c3c6c45,-9.39,-8.137,1.253,0.077,-2494.084,-2483.11,-2500.639,11.936,11.916,11.869,-6.554,10.974,-2.36,10,0.389,1.115,-6.052,-1.728,4.308,6.244,-1.544
hc_c38h20_0pent_544,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)cc1cc2ccc3cccc5cc6ccc4c1c6c2c35,-9.354,-8.176,1.178,0.081,-2494.022,-2483.12,-2500.654,11.929,11.911,11.863,-6.632,10.902,-2.337,10,0.451,1.224,-5.996,-1.778,4.201,6.141,-1.639
hc_c38h20_0pent_545,c1ccc2cc3c(ccc4cc5cc6cc7ccc8cccc9cc%10ccc(c5cc43)c6c%10c7c89)cc2c1,-9.39,-8.143,1.247,0.05,-2494.005,-2483.05,-2500.584,11.925,11.898,11.848,-6.579,10.955,-2.324,10,0.468,1.233,-6.052,-1.735,4.299,6.217,-1.575
